Rank,Surname,RarityLayer,Country,Notes
55,Pongi,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
56,Robo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
57,Rogos,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
58,Tahi,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
59,Tani,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
60,Toata,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
61,Tosia,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
62,Varisi,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
63,Arosi,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
64,Anuta,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
65,Bani,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
66,Birao,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
67,Asubuo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
68,Amba,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
69,Gela,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
70,Haoda,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
71,Hoava,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
72,Honiara,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
73,Iroa,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
74,Kakalo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
75,Kolo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
76,Leua,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
77,Lio,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
78,Maea,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
79,Malasa,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
80,Mani,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
81,Nado,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
82,Nalo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
83,Nusa,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
84,Ora,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
85,Rade,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
86,Raramo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
87,Rarua,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
88,Ravusa,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
89,Roviana,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
90,Samu,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
91,Sani,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
92,Sika,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
93,Sina,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
94,Soe,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
95,Sule,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
96,Suri,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
97,Tasi,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
98,Tavake,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
99,Tia,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
100,Tui,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
101,Uru,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
102,Vana,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
103,Vavaya,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
104,Bule,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
105,Ghiro,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
106,Kera,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
107,Lomu,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
108,Manea,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
109,Nauga,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
110,Rato,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
111,Sinaia,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
112,Tahiu,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
113,Talifu,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
114,Tihore,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
115,Voko,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
116,Wena,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
117,Wini,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
118,Yale,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
119,Zama,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
120,Fitoo,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
121,Joses,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
122,Moffat,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
123,Qaqara,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
124,Tuhia,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
125,Waena,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
126,Wainiqolo,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
127,Rungu,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
128,Pangar,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
129,Kere,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
130,Ngele,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
131,Leokana,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
132,Lologa,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
133,Maneke,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
134,Nabea,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
135,Oroha,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
136,Puhilo,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
137,Sikori,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
138,Tavuli,101_plus_rare,Solomon Islands,High-confidence Solomon Islands surname pool for game use
