Rank,Surname,RarityLayer,Country,Notes
61,Satele,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
62,Tauiliili,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
63,Taufetee,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
64,Toleafoa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
65,Tuigamala,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
66,Vaafusuaga,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
67,Vaaiga,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
68,Vaeluaga,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
69,Perenise,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
70,Pelasio,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
71,Lam,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
72,Tupua,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
73,Fiaui,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
74,Sioeli,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
75,Tafuna,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
76,Leota,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
77,Papalii,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
78,Tupou,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
79,Samoa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
80,Fetaui,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
81,Iese,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
82,Leilua,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
83,Lafaele,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
84,Mikaele,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
85,Niumatalolo,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
86,Pule,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
87,Sefo,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
88,Tafa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
89,Tiatia,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
90,Toloa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
91,Tuifao,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
92,Vai,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
93,Vaili,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
94,Vainikolo,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
95,Vui,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
96,Aiono-Le Tagaloa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
97,Anesi,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
98,Aumua,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
99,Faasalele,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
100,Faavae,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
101,Faleomavaega,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
102,Faumuina,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
103,Folau,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
104,Leasiolagi,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
105,Leota-Mose,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
106,Lilo,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
107,Lolesio,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
108,Maseuli,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
109,Muliaga,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
110,Niko,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
111,Sani,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
112,Satele-Galu,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
113,Seumanutafa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
114,Tafaifa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
115,Tala,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
116,Tausaga,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
117,Toomalatai,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
118,Tuaolo,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
119,Tuilaepa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
120,Vaai-Kolone,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
121,Vaaelua,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
122,Vaaiga-Tuigamala,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
123,Afoa-Lutu,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
124,Leaupepe,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
125,Mauga-Molei,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
126,Mulipola,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
127,Petaia-Tuiasosopo,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
128,Savea-Malifa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
129,Schwenke-Young,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
130,Tafua,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
131,Tautolo,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
132,Tuatagaloa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
133,Vaovasamanaia,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
134,Vui-Samoa,101_plus_rare,Samoa,High-confidence Samoa surname pool for game use
