Rank,Surname,RarityLayer,Country,Notes
50,Vaipulu,21_50_common,Tonga,High-confidence Tonga surname pool for game use
51,Maafu,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
52,Maka,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
53,Niu,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
54,Paea,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
55,Tokolahi,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
56,Tukuafu,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
57,Vaha'i,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
58,Vakai,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
59,Lopeti,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
60,Mafile'o,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
61,Filo,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
62,Feao,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
63,Fakahau,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
64,Katoa,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
65,Katonga,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
66,Lifuka,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
67,Moeakiola,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
68,Naulu,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
69,Polutele,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
70,Siaosi,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
71,Tali,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
72,Tau,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
73,Tiueti,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
74,Tuione,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
75,Ulukalala,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
76,Viliami,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
77,Sione,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
78,Siosiua,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
79,Semisi,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
80,Amanaki,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
81,Aisea,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
82,Aisake,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
83,Anau,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
84,Anitelu,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
85,Atiola,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
86,Filipe,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
87,Feleti,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
88,Hemi,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
89,Ilai,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
90,Inoke,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
91,Ipeni,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
92,Kalafi,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
93,Leka,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
94,Lisiate,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
95,Misiona,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
96,Nasoni,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
97,Penisimani,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
98,Saia,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
99,Sefa,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
100,Sefita,51_100_normal,Tonga,High-confidence Tonga surname pool for game use
101,Sikalu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
102,Silivenusi,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
103,Sione-Havili,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
104,Taliai,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
105,Taukeiaho,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
106,Tevita,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
107,Vaea,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
108,Viliami-Fetu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
109,Aho,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
110,Aukuso,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
111,Kelea,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
112,Lavulavu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
113,Tongia,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
114,Tangi,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
115,Moeahu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
116,Kautai,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
117,Tapueluelu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
118,Kavapalu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
119,Lokotui,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
120,Fielakepa,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
121,Kolo,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
122,Malupo,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
123,Sivakula,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
124,Palu-Latu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
125,Moeaki-Finau,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
126,Fangupo,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
127,Moeava,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
128,Havili,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
129,Tonga'uiha,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
130,Lutui,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
131,Pahulu,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
132,Fakanaana'a,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
133,Paea-Tupou,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
134,Puluvakili,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
135,Toa,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
136,Vaiangina,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
137,Kaho,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
138,Halatau,101_plus_rare,Tonga,High-confidence Tonga surname pool for game use
