Rank,Surname,RarityLayer,Country,Notes
63,Serrano,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
64,Velez,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
65,Aponte,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
66,Bonilla,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
67,Caballero,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
68,Calderon,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
69,Carrasquillo,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
70,Cedeno,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
71,Cotto,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
72,Davila,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
73,Echevarria,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
74,Escobar,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
75,Flores,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
76,Fonseca,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
77,Galarza,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
78,Gil,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
79,Gonzales,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
80,Guerrero,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
81,Hernandez,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
82,Iglesias,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
83,Irizarry,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
84,Laboy,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
85,Lebron,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
86,Luciano,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
87,Marin,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
88,Monroig,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
89,Montes,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
90,Navarro,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
91,Negron,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
92,Nunez,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
93,Ocasio,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
94,Olivo,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
95,Osorio,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
96,Pacheco,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
97,Pena,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
98,Polanco,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
99,Robles,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
100,Rojas,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
101,Salgado,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
102,Santana,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
103,Sepulveda,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
104,Sierra,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
105,Suarez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
106,Valentin,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
107,Velazquez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
108,Viera,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
109,Villanueva,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
110,Andino,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
111,Arce,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
112,Bauza,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
113,Bermudez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
114,Blanco,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
115,Cabrera,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
116,Caraballo,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
117,Carrion,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
118,Crespo,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
119,Cuevas,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
120,Feliciano,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
121,Ferrer,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
122,Fornaris,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
123,Galindez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
124,Huertas,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
125,Lamboy,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
126,Lugo-Velez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
127,Machin,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
128,Marrero-Rivera,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
129,Matos,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
130,Mojica,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
131,Muniz,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
132,Nieves-Rivera,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
133,Pabon,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
134,Palacios,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
135,Perales,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
136,Ramirez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
137,Ramos-Santiago,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
138,Rosado,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
139,Santini,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
140,Toro,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
141,Urbina,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
142,Villarini,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
143,Zayas,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
144,Acosta,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
145,Arocho,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
146,Baez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
147,Benitez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
148,Berrios,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
149,Boria,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
150,Cancel,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
151,Casiano,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
152,Casanova,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
153,Cespedes,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
154,Cordero-Santiago,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
155,Crescioni,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
156,Del Valle,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
157,Encarnacion,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
158,Espada,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
159,Feliciano-Cruz,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
160,Ferrer-Rodriguez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
161,Fraticelli,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
162,Godreau,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
163,Granados,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
164,Guadalupe,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
165,Huyke,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
166,Jusino,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
167,Latorre,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
168,Luzunaris,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
169,Malave,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
170,Marcano,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
171,Matos-Rodriguez,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
172,Maymi,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
173,Montero,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
174,Morales-Ramos,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
175,Nadal,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
176,Nazario,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
177,Olmeda,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
178,Ortega,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
179,Pietri,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
180,Pratts,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
181,Quiles,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
182,Riera,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
183,Rios,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
184,Roque,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
185,San Miguel,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
186,Santa,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
187,Sifre,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
188,Soler,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
189,Tirado,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
190,Toledo,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
191,Trujillo,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
192,Umpierre,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
193,Valles,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
194,Vidal,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
195,Zeno,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
196,Zorrilla,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
197,Arana,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
198,Belaval,101_plus_rare,Puerto Rico,High-confidence Puerto Rico surname pool for game use
