Name,Name ASCII,Country code,Country name,Continent,Official,Gender,Unisex,Country Rank,Frequency,is_noise,is_mainstream_local,is_embedded_panregional,is_local_form_quality_ok,is_male_local,is_foreign_anchor,foreign_anchor_region,is_diaspora_likely,confidence,final_status,indicator_notes,OriginalName,NameCleaned,NameLatin
Eduart,eduart,AL,Albania,Europe,n,m,n,54,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Eduart,Eduart,Eduart
Dorian,dorian,AL,Albania,Europe,n,m,n,55,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Dorian,Dorian,Dorian
Artan,artan,AL,Albania,Europe,n,m,n,56,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Artan,Artan,Artan
Renato,renato,AL,Albania,Europe,n,m,n,57,25,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Renato,Renato,Renato
Lulzim,lulzim,AL,Albania,Europe,n,m,n,58,25,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Lulzim,Lulzim,Lulzim
Agim,agim,AL,Albania,Europe,n,m,n,59,25,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Agim,Agim,Agim
Shkelzen,shkelzen,AL,Albania,Europe,n,m,n,60,24,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Shkelzen,Shkelzen,Shkelzen
Fatmir,fatmir,AL,Albania,Europe,n,m,n,61,24,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Fatmir,Fatmir,Fatmir
Edi,edi,AL,Albania,Europe,n,m,n,62,24,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Edi,Edi,Edi
Petrit,petrit,AL,Albania,Europe,n,m,n,63,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Petrit,Petrit,Petrit
Olsi,olsi,AL,Albania,Europe,n,m,n,64,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Olsi,Olsi,Olsi
Genti,genti,AL,Albania,Europe,n,m,n,65,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Genti,Genti,Genti
Flori,flori,AL,Albania,Europe,n,m,y,66,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Flori,Flori,Flori
Redi,redi,AL,Albania,Europe,n,m,y,68,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Redi,Redi,Redi
Luan,luan,AL,Albania,Europe,n,m,n,69,22,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Luan,Luan,Luan
Fatos,fatos,AL,Albania,Europe,n,m,y,70,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Fatos,Fatos,Fatos
Donald,donald,AL,Albania,Europe,n,m,n,71,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Donald,Donald,Donald
Daniel,daniel,AL,Albania,Europe,n,m,n,72,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Daniel,Daniel,Daniel
Astrit,astrit,AL,Albania,Europe,n,m,y,73,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Astrit,Astrit,Astrit
Amarildo,amarildo,AL,Albania,Europe,n,m,n,74,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Amarildo,Amarildo,Amarildo
Adrian,adrian,AL,Albania,Europe,n,m,n,75,22,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Adrian,Adrian,Adrian
Rei,rei,AL,Albania,Europe,n,m,y,76,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Rei,Rei,Rei
Marsel,marsel,AL,Albania,Europe,n,m,n,77,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Marsel,Marsel,Marsel
Bujar,bujar,AL,Albania,Europe,n,m,n,78,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bujar,Bujar,Bujar
Blerim,blerim,AL,Albania,Europe,n,m,n,79,21,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Blerim,Blerim,Blerim
Bledi,bledi,AL,Albania,Europe,n,m,n,80,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bledi,Bledi,Bledi
Arjan,arjan,AL,Albania,Europe,n,m,n,81,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Arjan,Arjan,Arjan
Alfred,alfred,AL,Albania,Europe,n,m,n,82,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Alfred,Alfred,Alfred
Adi,adi,AL,Albania,Europe,n,m,y,83,21,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Adi,Adi,Adi
Lorenc,lorenc,AL,Albania,Europe,n,m,n,84,20,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Lorenc,Lorenc,Lorenc
Edison,edison,AL,Albania,Europe,n,m,n,85,20,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Edison,Edison,Edison
Roland,roland,AL,Albania,Europe,n,m,n,86,19,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Roland,Roland,Roland
Robert,robert,AL,Albania,Europe,n,m,n,87,18,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Robert,Robert,Robert
Gjergj,gjergj,AL,Albania,Europe,n,m,n,88,18,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Gjergj,Gjergj,Gjergj
Florenc,florenc,AL,Albania,Europe,n,m,n,89,18,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Florenc,Florenc,Florenc
Ardi,ardi,AL,Albania,Europe,n,m,n,90,18,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ardi,Ardi,Ardi
Ylli,ylli,AL,Albania,Europe,n,m,n,91,17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ylli,Ylli,Ylli
Toni,toni,AL,Albania,Europe,n,m,y,92,17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Toni,Toni,Toni
Ledio,ledio,AL,Albania,Europe,n,m,n,93,17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ledio,Ledio,Ledio
Klaudio,klaudio,AL,Albania,Europe,n,m,n,94,17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klaudio,Klaudio,Klaudio
Ergys,ergys,AL,Albania,Europe,n,m,n,95,17,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ergys,Ergys,Ergys
Rezart,rezart,AL,Albania,Europe,n,m,n,96,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Rezart,Rezart,Rezart
Mariglen,mariglen,AL,Albania,Europe,n,m,n,97,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Mariglen,Mariglen,Mariglen
Flamur,flamur,AL,Albania,Europe,n,m,n,98,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Flamur,Flamur,Flamur
Eraldo,eraldo,AL,Albania,Europe,n,m,n,99,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Eraldo,Eraldo,Eraldo
Dardan,dardan,AL,Albania,Europe,n,m,n,100,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Dardan,Dardan,Dardan
Aurel,aurel,AL,Albania,Europe,n,m,n,101,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Aurel,Aurel,Aurel
Adriatik,adriatik,AL,Albania,Europe,n,m,n,102,16,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Adriatik,Adriatik,Adriatik
Xhulio,xhulio,AL,Albania,Europe,n,m,n,103,15,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Xhulio,Xhulio,Xhulio
Shkelqim,shkelqim,AL,Albania,Europe,n,m,n,104,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Shkelqim,Shkelqim,Shkelqim
Kujtim,kujtim,AL,Albania,Europe,n,m,n,105,15,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Kujtim,Kujtim,Kujtim
Gent,gent,AL,Albania,Europe,n,m,n,108,15,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Gent,Gent,Gent
Mikel,mikel,AL,Albania,Europe,n,m,n,109,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Mikel,Mikel,Mikel
Martin,martin,AL,Albania,Europe,n,m,n,110,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Martin,Martin,Martin
Kastriot,kastriot,AL,Albania,Europe,n,m,n,112,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Kastriot,Kastriot,Kastriot
Jetmir,jetmir,AL,Albania,Europe,n,m,n,113,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Jetmir,Jetmir,Jetmir
Ilirjan,ilirjan,AL,Albania,Europe,n,m,n,114,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ilirjan,Ilirjan,Ilirjan
Fation,fation,AL,Albania,Europe,n,m,n,115,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Fation,Fation,Fation
Ergi,ergi,AL,Albania,Europe,n,m,n,116,14,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ergi,Ergi,Ergi
Admir,admir,AL,Albania,Europe,n,m,n,118,14,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,balkan,FALSE,medium,international_core,foreign_anchor:balkan;close_neighbor_embedded,Admir,Admir,Admir
Zef,zef,AL,Albania,Europe,n,m,n,119,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Zef,Zef,Zef
Shpetim,shpetim,AL,Albania,Europe,n,m,n,120,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Shpetim,Shpetim,Shpetim
Pellumb,pellumb,AL,Albania,Europe,n,m,n,121,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Pellumb,Pellumb,Pellumb
Laert,laert,AL,Albania,Europe,n,m,n,123,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Laert,Laert,Laert
Florjan,florjan,AL,Albania,Europe,n,m,n,126,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Florjan,Florjan,Florjan
Bekim,bekim,AL,Albania,Europe,n,m,n,127,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bekim,Bekim,Bekim
Bashkim,bashkim,AL,Albania,Europe,n,m,n,128,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bashkim,Bashkim,Bashkim
Aldi,aldi,AL,Albania,Europe,n,m,n,130,13,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Aldi,Aldi,Aldi
Agron,agron,AL,Albania,Europe,n,m,n,131,13,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Agron,Agron,Agron
Vladimir,vladimir,AL,Albania,Europe,n,m,n,132,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Vladimir,Vladimir,Vladimir
Oltion,oltion,AL,Albania,Europe,n,m,n,133,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Oltion,Oltion,Oltion
Klodi,klodi,AL,Albania,Europe,n,m,n,134,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klodi,Klodi,Klodi
Gentjan,gentjan,AL,Albania,Europe,n,m,n,135,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Gentjan,Gentjan,Gentjan
Genci,genci,AL,Albania,Europe,n,m,n,136,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Genci,Genci,Genci
Genc,genc,AL,Albania,Europe,n,m,n,137,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Genc,Genc,Genc
Fitim,fitim,AL,Albania,Europe,n,m,n,138,12,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Fitim,Fitim,Fitim
Alex,alex,AL,Albania,Europe,n,m,y,140,12,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Alex,Alex,Alex
Visar,visar,AL,Albania,Europe,n,m,n,141,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Visar,Visar,Visar
Skender,skender,AL,Albania,Europe,n,m,n,142,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Skender,Skender,Skender
Renis,renis,AL,Albania,Europe,n,m,n,143,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Renis,Renis,Renis
Klodjan,klodjan,AL,Albania,Europe,n,m,n,144,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klodjan,Klodjan,Klodjan
Jeton,jeton,AL,Albania,Europe,n,m,n,145,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Jeton,Jeton,Jeton
Eris,eris,AL,Albania,Europe,n,m,y,147,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Eris,Eris,Eris
Enri,enri,AL,Albania,Europe,n,m,n,148,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Enri,Enri,Enri
Enes,enes,AL,Albania,Europe,n,m,n,149,11,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,balkan,FALSE,medium,international_core,foreign_anchor:balkan;close_neighbor_embedded,Enes,Enes,Enes
Emiljano,emiljano,AL,Albania,Europe,n,m,n,150,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Emiljano,Emiljano,Emiljano
Dorjan,dorjan,AL,Albania,Europe,n,m,n,151,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Dorjan,Dorjan,Dorjan
Dionis,dionis,AL,Albania,Europe,n,m,n,152,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Dionis,Dionis,Dionis
David,david,AL,Albania,Europe,n,m,n,153,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,David,David,David
Blendi,blendi,AL,Albania,Europe,n,m,n,154,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Blendi,Blendi,Blendi
Arian,arian,AL,Albania,Europe,n,m,n,155,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Arian,Arian,Arian
Antonio,antonio,AL,Albania,Europe,n,m,n,156,11,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Antonio,Antonio,Antonio
Xhoni,xhoni,AL,Albania,Europe,n,m,n,157,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Xhoni,Xhoni,Xhoni
Urim,urim,AL,Albania,Europe,n,m,n,158,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Urim,Urim,Urim
Stefan,stefan,AL,Albania,Europe,n,m,n,159,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Stefan,Stefan,Stefan
Skerdi,skerdi,AL,Albania,Europe,n,m,n,160,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Skerdi,Skerdi,Skerdi
Olti,olti,AL,Albania,Europe,n,m,n,161,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Olti,Olti,Olti
Nikolin,nikolin,AL,Albania,Europe,n,m,n,162,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Nikolin,Nikolin,Nikolin
Marko,marko,AL,Albania,Europe,n,m,n,163,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Marko,Marko,Marko
Klejdi,klejdi,AL,Albania,Europe,n,m,n,164,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klejdi,Klejdi,Klejdi
Juxhin,juxhin,AL,Albania,Europe,n,m,n,165,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Juxhin,Juxhin,Juxhin
Fisnik,fisnik,AL,Albania,Europe,n,m,n,167,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Fisnik,Fisnik,Fisnik
Bora,bora,AL,Albania,Europe,n,m,y,169,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bora,Bora,Bora
