Name	Estimated Rank	Country
Caolan	265	Wales
Steffan	266	wales
Iwan	267	Wales
Glynn	268	wales
Sean	269	Wales
Ross	270	wales
Callum	271	Wales
Kieran	272	wales
Shaun	273	Wales
Keith	274	wales
Cameron	275	Wales
Iain	276	wales
Graeme	277	Wales
Shane	278	wales
Duncan	279	Wales
Gordon	280	wales
Conor	281	Wales
Stewart	282	wales
Calum	283	Wales
Rory	284	wales
Allan	285	Wales
Fraser	286	wales
Aidan	287	Wales
Niall	288	wales
Alistair	289	Wales
Malcolm	290	wales
Declan	291	Wales
Ewan	292	wales
Alastair	293	Wales
Ciaran	294	wales
Brendan	295	Wales
Euan	296	wales
Glen	297	Wales
Paddy	298	wales
Douglas	299	Wales
Doug	300	wales
Angus	301	Wales
Kieron	302	wales
Aiden	303	Wales
Gerry	304	wales
Gerard	305	Wales
Blair	306	wales
Alasdair	307	Wales
Jonny	308	wales
Wayne	309	Wales
Finlay	310	wales
Murray	311	Wales
Hamish	312	wales
Derek	313	Wales
Marcus	314	wales
Ronan	315	Wales
Arran	316	wales
Nicky	317	Wales
Gregor	318	wales
Christian	319	Wales
Dale	320	wales
Mick	321	Wales
Bill	322	wales
Dougie	323	Wales
Martyn	324	wales
Ash	325	Wales
Frazer	326	wales
Jimmy	327	Wales
Brandon	328	wales
Fergus	329	Wales
Greig	330	wales
Johnny	331	Wales
Garry	332	wales
Tam	333	Wales
Keiran	334	wales
Bobby	335	Wales
Bryan	336	wales
Eoin	337	Wales
Olly	338	wales
Gregg	339	Wales
Frankie	340	wales
Shay	341	Wales
Damien	342	wales
Keir	343	Wales
Don	344	wales
Zak	345	Wales
Timothy	346	wales
Eamonn	347	Wales
Seamus	348	wales
Russ	349	Wales
Kenneth	350	wales
Cian	351	Wales
Keiron	352	wales
Darryl	353	Wales
Mitch	354	wales
Kane	355	Wales
Kristian	356	wales
Alec	357	Wales
Arron	358	wales
Colm	359	Wales
Giles	360	wales
Hayden	361	Wales
Neill	362	wales
Cal	363	Wales
Neal	364	wales
Rod	365	Wales
Norman	366	wales
Anton	367	Wales
Kelvin	368	wales
Ralph	369	Wales
Val	370	wales
Eamon	371	Wales
Calvin	372	wales
Cormac	373	Wales
Zach	374	wales
Levi	375	Wales
Leslie	376	wales
Damon	377	Wales
Bernard	378	wales
Austin	379	Wales
Myles	380	wales
Donal	381	Wales
Terence	382	wales
Cathal	383	Wales
Geoffrey	384	wales
Ruairidh	385	Wales
Perry	386	wales
Todd	387	Wales
Stan	388	wales
Kian	389	Wales
Shawn	390	wales
Cliff	391	Wales
Marty	392	wales
Larry	393	Wales
Roland	394	wales
Padraig	395	Wales
Devon	396	wales
Jeffrey	397	Wales
Thom	398	wales
Zayn	399	Wales
Emmanuel	400	wales
Eoghan	401	Wales
Travis	402	wales
Tash	403	Wales
Bernie	404	wales
Leighton	405	Wales
Darragh	406	wales
Reuben	407	Wales
Des	408	wales
Ronald	409	Wales
Maurice	410	wales
Cody	411	Wales
Jared	412	wales
Byron	413	Wales
Mickey	414	wales
Eddy	415	Wales
Benedict	416	wales
Eugene	417	Wales
Piers	418	wales
Pierre	419	Wales
Erik	420	wales
Darrell	421	Wales
Walter	422	wales
Jed	423	Wales
Lance	424	wales
Nate	425	Wales
Ruaridh	426	wales
Conner	427	Wales
Fergal	428	wales
Scotty	429	Wales
Alisdair	430	wales
Shayne	431	Wales
Seth	432	wales
Aron	433	Wales
Tyrone	434	wales
Dion	435	Wales
Jojo	436	wales
Ceiran	437	Wales
Wes	438	wales
Conrad	439	Wales
Maxwell	440	wales
Lyndon	441	Wales
Neville	442	wales
Rio	443	Wales
Derrick	444	wales
Freddy	445	Wales
Edmund	446	wales
Marvin	447	Wales
Rodney	448	wales
Brent	449	Wales
Harri	450	wales
Zachary	451	Wales
Phoenix	452	wales
Clayton	453	Wales
Aston	454	wales
Zain	455	Wales
Marius	456	wales
Wilson	457	Wales
Artur	458	wales
Boris	459	Wales
Marcel	460	wales
Ritchie	461	Wales
Marshall	462	wales
Stephan	463	Wales
Joss	464	wales
Beau	465	Wales
Vinny	466	wales
Sal	467	Wales
Dermot	468	wales
Macauley	469	Wales
Finley	470	wales
Leonard	471	Wales
Dorian	472	wales
Hector	473	Wales
Ned	474	wales
Lenny	475	Wales
Nelson	476	wales
Jermaine	477	Wales
Gilly	478	wales
Dexter	479	Wales
Timmy	480	wales
Duane	481	Wales
Brendon	482	wales
Clint	483	Wales
Magnus	484	wales
Dwayne	485	Wales
Leroy	486	wales
Desmond	487	Wales
Darius	488	wales
Alister	489	Wales
Sol	490	wales
Cain	491	Wales
