Rank,GivenName,RarityLayer,Notes
62,Ernesto,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
63,Rodolfo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
64,Joaquin,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
65,Gerardo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
66,Felipe,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
67,Maximiliano,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
68,Israel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
69,Abel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
70,Nicolas,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
71,Alexis,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
72,Damian,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
73,Carmelo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
74,Hugo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
75,Adolfo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
76,Ariel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
77,Jaime,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
78,Brandon,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
79,Bryan,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
80,Kevin,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
81,Edwin,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
82,Ulises,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
83,Jonathan,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
84,Jonatan,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
85,Angelito,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
86,Josue,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
87,Aldo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
88,Gael,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
89,Mateo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
90,Emmanuel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
91,Ian,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
92,Axel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
93,Brayan,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
94,Misael,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
95,Ever,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
96,Noel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
97,Yahir,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
98,Edson,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
99,Marcos,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
100,Uriel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
101,Alan,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
102,Rogelio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
103,Beto,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
104,Chuy,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
105,Chema,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
106,Memo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
107,Toño,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
108,Nacho,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
109,Lalo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
110,Chente,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
111,Poncho,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
112,Tito,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
113,Neto,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
114,Mando,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
115,Chino,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
116,Benny,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
117,Lucho,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
118,Paco,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
119,Tavo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
120,Checo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
121,Braulio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
122,Gustavo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
123,Mauricio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
124,Elian,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
125,Rene,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
126,Ricky,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
127,Luciano,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
128,Rayan,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
129,Iker,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
130,Oziel,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
131,Yael,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
132,Aarón,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
133,Santiago,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
134,Thiago,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
135,Sebastian,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
136,Emiliano,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
137,Valente,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
138,Aurelio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
139,Benicio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
140,Ciro,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
141,Tadeo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
142,Romeo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
143,Dario,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
144,Lorenzo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
145,Cayetano,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
146,Franco,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
147,Jairo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
148,Jeferson,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
149,Mauro,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
150,Nelson,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
151,Orlando,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
152,Pablo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
153,Patricio,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
154,Reynaldo,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
155,Teodoro,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
156,Xavier,101_plus_rare,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
