Region	Country	VisualBucket	percent	naming pool	Persona	naming split
UEFA	England	AfroCaribbean	8	Jamaica 0.65, Trinidad and Tobago 0.35	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	AfricaNorth	3	Morocco 0.45, Algeria 0.35, Tunisia 0.20	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	Anatolian	2	Turkey 1	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	IndiaPunjab	2	Pakistan Punjabi 0.55, India Punjabi 0.45	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	EuroEast	2	Poland 0.35, Romania 0.25, Lithuania 0.20, Ukraine 0.20	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	RedHair	4	England 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Scotland	BritishIsles	67	Scotland 0.76, England 0.10, Ireland 0.10, Wales 0.04	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Scotland	EuroNorth	6	Scotland 0.72, Norway 0.15, Denmark 0.13	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Scotland	AfricaWest	5	NigeriaYoruba 0.15, NigeriaIgbo 0.15, NigeriaDelta 0.15, Ghana 0.30, Liberia 0.15, Senegal 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Scotland	AfroCaribbean	3	Jamaica 0.70, Trinidad and Tobago 0.3	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Scotland	IndiaPunjab	2	Pakistan Punjabi 0.55, India Punjabi 0.45	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Scotland	Levant	2	Iraq 0.40, Lebanon 0.25, Syria 0.20, Palestine 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Scotland	EuroEast	2	Poland 0.35, Lithuania 0.25, Romania 0.20, Ukraine 0.20	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Scotland	RedHair	13	Scotland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Wales	BritishIsles	76	Wales 0.64, England 0.22, Ireland 0.09, Scotland 0.05	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Wales	EuroNorth	6	Wales 0.55, England 0.25, Ireland 0.20	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Wales	AfricaWest	6	NigeriaYoruba 0.15, NigeriaIgbo 0.15, NigeriaDelta 0.15, Ghana 0.25, Liberia 0.15, Senegal 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Wales	AfroCaribbean	3	Jamaica 0.70, Trinidad and Tobago 0.3	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Wales	IndiaPunjab	2	Pakistan Punjabi 0.50, India Punjabi 0.50	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Wales	Levant	2	Iraq 0.35, Syria 0.25, Lebanon 0.20, Palestine 0.20	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Wales	RedHair	5	Wales 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Northern Ireland	BritishIsles	75	Northern Ireland 0.48, Ireland 0.28, Scotland 0.14, England 0.10	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Northern Ireland	EuroNorth	8	Northern Ireland 0.45, Ireland 0.30, Scotland 0.25	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Northern Ireland	AfricaWest	4	NigeriaYoruba 0.15, NigeriaIgbo 0.15, NigeriaDelta 0.15, Ghana 0.30, Liberia 0.15, Senegal 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Northern Ireland	IndiaPunjab	2	India Punjabi 0.50, Pakistan Punjabi 0.35, Bangladesh 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Northern Ireland	RedHair	11	Northern Ireland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Ireland	BritishIsles	71	Ireland 0.84, England 0.08, Scotland 0.05, Wales 0.03	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Ireland	EuroNorth	7	Ireland 0.80, Scotland 0.10, England 0.10	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Ireland	AfricaWest	5	NigeriaYoruba 0.15, NigeriaIgbo 0.15, NigeriaDelta 0.15, Ghana 0.25, Liberia 0.15, Liberia 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Ireland	AfroCaribbean	2	Jamaica 0.70, Trinidad and Tobago 0.3	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Ireland	EuroEast	2	Poland 0.45, Lithuania 0.20, Romania 0.20, Ukraine 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Ireland	IndiaGangetic	2	India Gangetic 0.50, Tamil 0.15, Telugu 0.15, Kannada 0.11, Malaylam 0.09 	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Ireland	RedHair	11	Ireland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	France	EuroCentral	44	France 0.84, Belgium French 0.13, Germany 0.03	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	France	EuroItaMed	8	France 0.82, Italy 0.18	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	France	AfricaWest	18	Senegal 0.3, Mali 0.20, Guinea 0.2, Ivory Coast 0.15, Cameroon 0.10,  Burkina Faso 0.05	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	France	AfricaCentral	8	DR Congo 0.6, Congo 0.20, Cameroon 0.3	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	France	AfroCaribbean	4	French Caribbean 1	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	France	AfricaNorth	12	Algeria 0.42, Morocco 0.33, Tunisia 0.20, Libya 0.05	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	France	Anatolian	3	Turkey 0.88, France 0.12	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	France	EuroIberian	3	Portugal 0.65, Spain 0.35	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	EuroCentral	61	Belgium Dutch 0.42, Belgium French 0.33, Netherlands 0.15, France 0.07, Germany 0.03	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Belgium	AfricaNorth	12	Morocco 0.72, Algeria 0.18, Tunisia 0.10	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	AfricaCentral	9	DR Congo 0.79, Congo 0.13, Rwanda 0.08	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	AfricaWest	4	Guinea 0.25, Senegal 0.20, Mali 0.20, Ivory Coast 0.20, Ghana 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	Anatolian	4	Turkey 0.82, Belgium Dutch 0.09, Belgium French 0.09	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	EuroEast	3	Poland 0.30, Romania 0.25, Bulgaria 0.20, Ukraine 0.15, Slovakia 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	EuroBalkans	3	Bosnia and Herzegovina 0.30, Kosovo 0.25, Albania 0.20, Serbia 0.15, North Macedonia 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Belgium	Levant	2	Lebanon 0.35, Syria 0.25, Iraq 0.25, Palestine 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	EuroCentral	49	Netherlands 0.85, Belgium Dutch 0.08, Germany 0.07	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Netherlands	EuroNorth	12	Netherlands 0.82, Denmark 0.10, Germany 0.08	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Netherlands	AfricaNorth	10	Morocco 0.88, Algeria 0.07, Tunisia 0.05	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	AfroCaribbean	14	Suriname 0.7, Dutch Caribbean 0.2, Netherlands 0.1	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	Anatolian	5	Turkey 0.84, Netherlands 0.16	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	EuroBalkans	3	Bosnia and Herzegovina 0.25, Kosovo 0.25, Serbia 0.20, Croatia 0.15, Albania 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	EuroEast	3	Poland 0.30, Romania 0.25, Bulgaria 0.20, Ukraine 0.15, Lithuania 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	IndiaGangetic	2	Suriname Hindustani 0.65, India Gangetic 0.25,  Pakistan Punjabi 0.1	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Netherlands	RedHair	2	Netherlands 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Germany	EuroCentral	57	Germany 0.92, Austria 0.06, Netherlands 0.02	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Germany	EuroNorth	8	Germany 0.78, Netherlands 0.12, Denmark 0.10	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Germany	EuroEast	7	Poland 0.32, Romania 0.20, Russia 0.18, Ukraine 0.15, Czech Republic 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	EuroBalkans	6	Croatia 0.24, Bosnia and Herzegovina 0.22, Serbia 0.18, Kosovo 0.18, Albania 0.10, North Macedonia 0.08	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	Anatolian	12	Turkey 0.86, Germany 0.14	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	AfricaWest	4	Ghana 0.30,NigeriaYoruba 0.15, NigeriaIgbo 0.05, NigeriaDelta 0.05, Ghana 0.20, Senegal 0.15, Ivory Coast 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	Levant	3	Syria 0.40, Iraq 0.30, Lebanon 0.20, Palestine 0.10	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	AfricaNorth	2	Morocco 0.45, Algeria 0.30, Tunisia 0.25	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Germany	RedHair	1	Germany 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Austria	EuroCentral	72	Austria 0.8, Germany 0.2	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Austria	EuroEast	10	Hungary 0.24, Slovakia 0.18, Czech Republic 0.16, Poland 0.14, Romania 0.14, Serbia 0.14	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Austria	EuroBalkans	8	Bosnia and Herzegovina 0.28, Serbia 0.20, Croatia 0.18, Kosovo 0.14, Albania 0.10, North Macedonia 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Austria	Anatolian	5	Turkey 0.82, Austria 0.18	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Austria	AfricaWest	2	NigeriaYoruba 0.1, NigeriaIgbo 0.1, NigeriaDelta 0.1, Ghana 0.25, Senegal 0.20, Ivory Coast 0.15, Mali 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Austria	Levant	3	Syria 0.40, Iraq 0.30, Lebanon 0.20, Palestine 0.10	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Switzerland	EuroCentral	56	Swiss 0.15, Germany 0.55, France 0.25, Austria 0.05	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Switzerland	EuroItaMed	7	Italy 1	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Switzerland	EuroBalkans	15	Kosovo 0.28, Albania 0.23, Bosnia and Herzegovina 0.17, Serbia 0.12, Croatia 0.10, North Macedonia 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Switzerland	Anatolian	7	Turkey 0.82, German 0.18	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Switzerland	AfricaWest	5	Cape Verde 0.28, Senegal 0.22, Ghana 0.18, NigeriaYoruba 0.18, Ivory Coast 0.14	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Switzerland	AfricaNorth	5	Morocco 0.45, Tunisia 0.30, Algeria 0.25	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Switzerland	EuroEast	5	Romania 0.25, Hungary 0.20, Poland 0.20, Ukraine 0.20, Czech Republic 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
