Rank,Name,RarityLayer,Country,Gender,Notes
92,Levi,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
93,Louis,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
94,Luke,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
95,Manu,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
96,Martin,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
97,Matthew,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
98,Micah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
99,Nathan,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
100,Noah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
101,Oliver,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
102,Oscar,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
103,Ricky,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
104,Ruben,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
105,Sam,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
106,Samson,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
107,Saul,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
108,Scott,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
109,Silas,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
110,Solomon,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
111,Terry,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
112,Theo,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
113,Titus,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
114,Toby,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
115,Tommy,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
116,Travis,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
117,Valentine,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
118,Warren,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
119,Wesley,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
120,Wilson,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
121,Abel,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
122,Adrian,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
123,Alick,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
124,Amos,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
125,Bani,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
126,Bule,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
127,Carcasses,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
128,Garae,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
129,Jimmy,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
130,Kalpokas,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
131,Kalo,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
132,Kalsakau,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
133,Kaltak,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
134,Kilman,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
135,Lini,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
136,Lonsdale,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
137,Napuat,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
138,Natapei,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
139,Natuman,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
140,Regenvanu,101_plus_rare,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
