Rank,Name,RarityLayer,Pool,Gender,Notes
60,Nadeem,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
61,Naeem,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
62,Nasir,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
63,Naveed Akram,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
64,Niaz,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
65,Nouman,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
66,Owais,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
67,Pervez,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
68,Qamar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
69,Rafaqat,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
70,Rana,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
71,Rauf,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
72,Sajid,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
73,Saqib,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
74,Shafqat,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
75,Shahid Iqbal,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
76,Shahzad,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
77,Shan,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
78,Shaukat,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
79,Talha,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
80,Tanveer,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
81,Ubaid,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
82,Umair,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
83,Wajahat,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
84,Waqar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
85,Waris,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
86,Yaseen,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
87,Zafar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
88,Zain,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
89,Zainul,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
90,Zubair,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
91,Abdullah,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
92,Abrar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
93,Ameer,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
94,Amin,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
95,Anwar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
96,Ashfaq,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
97,Atiq,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
98,Azhar,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
99,Bashir,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
100,Chaudhry,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
101,Dilawar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
102,Ejaz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
103,Fahim,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
104,Fakhar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
105,Farrukh,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
106,Ghulam Mustafa,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
107,Hafiz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
108,Hammad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
109,Hasnain,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
110,Ikram,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
111,Ilyas,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
112,Iqraam,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
113,Ishaq,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
114,Jamal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
115,Jawad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
116,Jibran,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
117,Khuram,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
118,Khurshid,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
119,Kifayat,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
120,Majid,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
121,Maqsood,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
122,Mazhar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
123,Mehboob,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
124,Munawar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
125,Nadir,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
126,Najam,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
127,Najeeb,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
128,Parvez,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
129,Rameez,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
130,Rashid Mehmood,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
131,Raza,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
132,Rehan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
133,Rizvi,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
134,Saeed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
135,Sarmad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
136,Shehzad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
137,Shuja,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
138,Sohail,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
139,Suleman,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
140,Tahir,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
141,Umer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
142,Usama,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
143,Waleed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
144,Wasim,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
145,Younis,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
146,Zahid,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
147,Zaheer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
148,Zubair Ahmed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
149,Arian,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
150,Arham,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
151,Huzaifa,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
152,Rayyan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
153,Mikaeel,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
154,Dawood,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
155,Ibrahim,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
156,Ayan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
157,Haider,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
158,Murtaza,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
159,Taimoor,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
160,Shahmeer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
161,Adeel Ahmed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
162,Adil,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
163,Affan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
164,Ahmad Raza,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
165,Ahtesham,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
166,Aizaz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
167,Akmal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
168,Aleem,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
169,Ammar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
170,Aqib,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
171,Ashar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
172,Ata ur Rehman,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
173,Atif Aslam,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
174,Azam,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
175,Bilawal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
176,Burhan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
177,Daniyal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
178,Ehtisham,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
179,Fahad Mustafa,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
180,Faizan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
181,Faraz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
182,Ghazanfar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
183,Ghulam Rasool,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
184,Hamad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
185,Hanzala,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
186,Hasan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
187,Haseeb,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
188,Hashir,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
189,Hassan Raza,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
190,Hasnain Raza,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
191,Husnain,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
192,Ibad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
193,Ibrar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
194,Iftikhar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
195,Ihtesham,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
196,Ikram ul Haq,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
197,Imad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
198,Jalal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
199,Khizar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
200,Khurram,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
201,Mehroz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
202,Moazzam,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
203,Moeez,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
204,Muhib,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
205,Mujtaba,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
206,Muzammil,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
207,Nabeel,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
208,Nashit,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
209,Naveed Iqbal,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
210,Omer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
211,Rameez Raja,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
212,Rizwan Ahmed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
213,Sarmad Sultan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
214,Shafique,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
215,Shahzaib,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
216,Sheryar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
217,Subhan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
218,Tabish,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
219,Taimur,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
220,Tauseef,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
221,Waleed Ahmed,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
222,Yahya,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
223,Yawar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
224,Zarar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
225,Zavian,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
226,Zia,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
227,Zubayr,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
228,Areeb,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
229,Areez,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
230,Sameer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
231,Abeer,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
232,Basit,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
233,Jahanzeb,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
234,Ahsanullah,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
235,Rehmat,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
236,Naveed Anjum,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
237,Rizwan Ali,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
238,Shayan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
239,Shafay,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
240,Zain ul Abideen,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
241,Hamdan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
242,Afaq,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
243,Ammad,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
244,Mubashar,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
245,Shazil,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
246,Aariz,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
247,Afan,101_plus_rare,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
