Rank,Name,RarityLayer,Pool,Gender,Notes
117,Taj,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
118,Tajuddin,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
119,Tajwar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
120,Ubaidullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
121,Wakil,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
122,Waseem,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
123,Zarar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
124,Zia,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
125,Ziaullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
126,Abaseen,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
127,Arbaz,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
128,Farhad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
129,Gulab,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
130,Gulalai,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
131,Gulzar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
132,Hayatullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
133,Hewad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
134,Hikmatyar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
135,Lal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
136,Momin,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
137,Nangyal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
138,Nek Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
139,Niaz Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
140,Painda,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
141,Rohid,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
142,Rostam,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
143,Rustam,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
144,Sami Jan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
145,Shoaib,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
146,Tor,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
147,Turab,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
148,Wazir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
149,Yama,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
150,Zalmay,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
151,Zmarai,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
152,Zubayr,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
153,Nisar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
154,Mubashir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
155,Yasir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
156,Babar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
157,Sherdil,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
158,Khattak,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
159,Buner,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
160,Haqyar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
161,Mohib,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
162,Naveed,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
163,Parvez,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
164,Farman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
165,Aqib,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
166,Khyber,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
167,Sulaiman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
168,Musa,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
169,Ateeq,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
170,Sikandar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
171,Abdullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
172,Abdur Rahim,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
173,Abdur Rehman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
174,Aftab,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
175,Noman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
176,Sher Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
177,Muqeem,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
178,Sultan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
179,Razaq,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
180,Mian,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
181,Abdus Salam,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
182,Abid,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
183,Adil,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
184,Afzal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
185,Akhtar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
186,Alamgir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
187,Aman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
188,Aminullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
189,Anwar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
190,Arif,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
191,Asghar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
192,Asim,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
193,Ata,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
194,Attaur Rehman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
195,Aurang,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
196,Ayaz,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
197,Badshah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
198,Basharat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
199,Bismillah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
200,Dilshad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
201,Ehsanullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
202,Ejaz,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
203,Farooq,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
204,Fazal Karim,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
205,Fida Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
206,Ghulam Nabi,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
207,Gohar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
208,Haji Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
209,Hameedullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
210,Hanif,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
211,Hashmat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
212,Hayat Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
213,Hidayatullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
214,Ikhtiar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
215,Ilyas Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
216,Inayatullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
217,Israr,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
218,Jalal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
219,Jamil,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
220,Junaid Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
221,Kalim,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
222,Kamal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
223,Kamran Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
224,Karamat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
225,Khairullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
226,Khushal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
227,Latifullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
228,Lutfullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
229,Mahboob,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
230,Mahfuz,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
231,Mahir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
232,Majid,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
233,Maqbool,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
234,Maroof,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
235,Matiur Rahman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
236,Mubarak,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
237,Mufti,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
238,Mukaram,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
239,Mukhtar,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
240,Muneer,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
241,Mushtaq,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
242,Naseerullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
243,Nawab,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
244,Nazar Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
245,Niaz Ali,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
246,Obaid,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
247,Qudratullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
248,Raza Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
249,Rehmat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
250,Rehmatullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
251,Sadruddin,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
252,Saifullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
253,Salahuddin,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
254,Shahab,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
255,Shamsher,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
256,Sher Alam,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
257,Sher Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
258,Sher Wali,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
259,Sultan Muhammad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
260,Tajuddin Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
261,Taimur,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
262,Talib,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
263,Toor Gul,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
264,Usama,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
265,Waheed,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
266,Waqar Ahmad,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
267,Yahya,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
268,Yaqeen,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
269,Yar Gul,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
270,Younas,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
271,Yunus Khan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
272,Ziaur Rahman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
